ind,current
0,0
1,0.000000000000595817712243531
2,0.00000000000127618778272943
3,0.00000000000183622287104961
4,0.00000000000259023593907217
5,0.00000000000317343749847009
6,0.00000000000387403498827726
7,0.00000000000463414525347993
8,0.00000000000525908805088849
9,0.00000000000631549631449782
10,0.00000000000689186413340387
11,0.0000000000081849114393519
12,0.00000000000863821251875329
13,0.0000000000100995162817452
14,0.0000000000105643419846706
15,0.000000000012180286784969
16,0.0000000000129477466928268
17,0.0000000000145832375732888
18,0.0000000000156595163096896
19,0.0000000000169930508546173
20,0.0000000000184760239991571
21,0.0000000000194888996114502
22,0.0000000000216304997777543
23,0.0000000000225679609536418
24,0.0000000000252756562459147
25,0.000000000026016657688777
26,0.00000000002897459244799
27,0.0000000000295401386953362
28,0.0000000000325470900396109
29,0.0000000000335068322799028
30,0.0000000000365363930094716
31,0.0000000000383202323316143
32,0.0000000000410414008785705
33,0.0000000000433587096156451
34,0.0000000000454064348467246
35,0.0000000000484135693185618
36,0.0000000000499572367855639
37,0.0000000000539793659829669
38,0.0000000000552686075487254
39,0.0000000000601621658692336
40,0.0000000000613147374037578
41,0.0000000000661054215885761
42,0.0000000000671795004343936
43,0.0000000000720955628213954
44,0.0000000000736527387447016
45,0.000000000078368503875379
46,0.0000000000817293511306103
47,0.0000000000856065715827629
48,0.0000000000897681713402116
49,0.0000000000923155805082587
50,0.0000000000975078429464174
51,0.0000000000994569201041649
52,0.000000000106088955782828
53,0.000000000107969351275157
54,0.000000000115597318991444
55,0.000000000117248535430976
56,0.000000000124548486265223
57,0.000000000126004158822491
58,0.000000000133411065055062
59,0.000000000136643448237386
60,0.000000000143297636066992
61,0.000000000148499097524835
62,0.000000000153898853415446
63,0.000000000160544993565061
64,0.000000000163746994329303
65,0.000000000172181695353651
66,0.000000000174575542571383
67,0.000000000185253491485156
68,0.000000000186998397045487
69,0.000000000199375602467288
70,0.0000000002013545970198
71,0.000000000212525288859097
72,0.000000000214746092629141
73,0.000000000225513267566493
74,0.000000000230349171147111
75,0.000000000240109086528619
76,0.000000000248316155126316
77,0.000000000255894433926807
78,0.000000000266314713081574
79,0.000000000270627515629692
80,0.000000000283967120063688
81,0.000000000286976301595873
82,0.000000000303814065941749
83,0.000000000306620365851446
84,0.000000000325237428476073
85,0.000000000327662385717389
86,0.000000000345260770733976
87,0.000000000348318570100465
88,0.000000000365058425230882
89,0.000000000372768521754869
90,0.000000000387531924097309
91,0.000000000400171457530075
92,0.000000000412368429143582
93,0.000000000429274244876069
94,0.000000000435438182622887
95,0.000000000457289555878655
96,0.00000000046093789486816
97,0.000000000489099096578324
98,0.000000000492835342716063
99,0.000000000524338448636431
100,0.000000000527515637762874
101,0.000000000556736635406528
102,0.00000000056188566766549
103,0.000000000589509644830963
104,0.000000000602248147821097
105,0.000000000628705436134262
106,0.000000000652583475754272
107,0.000000000671550346820104
108,0.000000000702863558331216
109,0.000000000711498875479674
110,0.000000000753270427157967
111,0.000000000757360214513153
112,0.000000000812470805911146
113,0.000000000817128059055144
114,0.000000000879944528209955
115,0.000000000883268669072386
116,0.000000000943894804513302
117,0.000000000951503551833269
118,0.00000000100939526069663
119,0.00000000103640439267783
120,0.00000000109085823817768
121,0.00000000114499800697858
